,loss,mae,mse,val_loss,val_mae,val_mse,epoch
0,17687745.008733813,2645.252685546875,17687726.0,2914152.827989225,1002.30517578125,2914152.5,0
1,1491861.6641193042,762.4295043945312,1491861.0,1687291.4596150503,663.24072265625,1687291.5,1
2,1104646.7308775818,642.8947143554688,1104646.5,1660920.1577779227,612.1463623046875,1660920.125,2
3,1025142.9654594305,595.7062377929688,1025143.125,1604392.6542676834,575.1286010742188,1604392.25,3
4,973504.0715904812,568.6490478515625,973505.0,1642725.1989051094,551.880859375,1642725.25,4
5,930388.4830012891,544.5359497070312,930388.25,1658838.1720107752,530.39404296875,1658839.125,5
6,895310.7087859564,519.8107299804688,895310.4375,1655405.3340357433,500.64569091796875,1655405.5,6
7,861805.5960502303,492.57073974609375,861805.375,1651171.1460505736,478.7457275390625,1651171.5,7
8,841672.4516616698,469.66546630859375,841672.0,1742367.1112197312,458.1322021484375,1742367.125,8
9,826213.903825751,454.9512939453125,826213.5,1758389.2989369715,445.1708679199219,1758389.375,9
10,813081.2121824396,446.2884521484375,813081.5,1761964.3129562044,443.1172790527344,1761963.875,10
11,803344.8449059993,440.4344787597656,803345.25,1871516.3805287627,434.3762512207031,1871515.875,11
12,793921.5935064888,435.2907409667969,793920.625,1852809.3018624724,438.0511474609375,1852809.25,12
13,783844.8217832986,432.3741455078125,783844.1875,1955692.2361690418,428.1378173828125,1955692.125,13
14,772623.9970190247,427.44854736328125,772624.25,1999056.188408788,421.7635803222656,1999055.875,14
15,763664.1026983575,422.5279541015625,763664.0,1983998.4031832928,414.7232666015625,1983997.625,15
16,747224.7561629154,416.75323486328125,747224.8125,2004899.1083304367,415.14947509765625,2004899.25,16
17,728780.754638481,410.478759765625,728780.625,2088867.6677383848,403.2798767089844,2088867.75,17
18,709679.1021615466,401.9979553222656,709679.375,2120653.4247661047,398.8680114746094,2120654.25,18
19,688162.212659957,395.7971496582031,688162.6875,2160804.922562927,393.881591796875,2160806.5,19
20,674481.424039896,389.0823669433594,674481.4375,2252051.164164784,387.0699768066406,2252050.75,20
21,657996.4330403052,384.6875915527344,657996.5,2281437.821551674,385.0065002441406,2281439.25,21
22,649179.8778447359,381.2125549316406,649180.3125,2300140.0750202755,384.0703125,2300139.25,22
23,640492.2992363344,378.1663513183594,640492.3125,2348030.3374047764,384.6938781738281,2348030.5,23
24,635413.9259363866,375.22796630859375,635413.375,2389318.444777546,377.0608825683594,2389318.5,24
25,627240.573234408,372.28546142578125,627241.0,2432321.5346968775,375.63616943359375,2432321.25,25
26,617973.905251061,369.5738220214844,617973.6875,2499886.331211621,369.4085693359375,2499886.75,26
27,616062.8480263825,367.6862487792969,616062.75,2589782.0658599813,369.66546630859375,2589781.75,27
28,609511.0310205201,365.0679016113281,609510.875,2537904.54033426,368.3995666503906,2537905.75,28
29,600251.5130952898,363.6836853027344,600251.875,2661005.659584637,367.3248596191406,2661005.0,29
30,595397.5555092371,362.1957702636719,595397.5,2598885.0867946935,369.7024841308594,2598885.25,30
31,592303.4357795798,361.0863037109375,592303.6875,2637776.1188611547,364.6095275878906,2637776.75,31
32,589271.2190387734,360.6925354003906,589271.4375,2666148.733272506,365.3116455078125,2666148.5,32
33,585913.3537167594,358.4009704589844,585913.125,2742984.3538036947,360.87921142578125,2742984.25,33
34,582037.5736290953,357.74609375,582037.375,2687994.318723931,364.3096923828125,2687992.75,34
35,579777.745960792,356.9757995605469,579777.75,2769586.0938187926,359.48919677734375,2769586.5,35
36,573631.5305525078,355.9248352050781,573631.375,2812467.9018943342,357.90289306640625,2812468.25,36
37,570750.163779837,354.5708312988281,570750.5625,2760418.8629359286,360.9383239746094,2760418.5,37
38,567657.4584591625,354.0243225097656,567657.0,2748329.4647726943,362.2626037597656,2748329.75,38
39,561629.3684405868,352.6772155761719,561629.3125,2833822.8130322383,356.8759460449219,2833823.25,39
40,557091.2516982417,351.1825866699219,557091.625,2847394.9197514774,355.30389404296875,2847394.25,40
41,555799.0928488275,350.9625549316406,555799.25,2924598.9131989703,358.85772705078125,2924598.75,41
42,550131.9551851138,350.5694885253906,550131.8125,2911193.1825614064,353.9100036621094,2911193.25,42
43,547583.2121960183,349.82257080078125,547582.875,2837034.2265923703,359.18572998046875,2837033.75,43
44,545227.5882488196,348.8273620605469,545227.6875,2948090.417972823,354.16278076171875,2948089.25,44
45,544099.3110244488,348.15203857421875,544099.1875,2976371.638110445,356.2766418457031,2976372.75,45
46,541204.9279496538,347.11767578125,541204.9375,2937288.8861733866,352.04437255859375,2937289.0,46
47,537040.7022093436,346.17803955078125,537040.8125,2910833.007617889,353.8056335449219,2910833.5,47
48,531886.5145092842,345.38671875,531886.125,3057713.0927905226,354.29400634765625,3057713.0,48
49,532849.4445161098,344.1560363769531,532849.5,2988054.0649892106,349.1376647949219,2988054.5,49
